datetime,number_of_cargo_ships,number_of_tanker_ships,location
2019-04-26,31,19,bab
2019-04-27,42,20,bab
2019-04-28,43,16,bab
2019-04-29,35,17,bab
2019-04-30,31,15,bab
2019-05-01,31,20,bab
2019-05-02,38,13,bab
2019-05-03,33,18,bab
2019-05-04,44,12,bab
2019-05-05,38,25,bab
2019-05-06,25,21,bab
2019-05-07,34,16,bab
2019-05-08,34,17,bab
2019-05-09,42,12,bab
2019-05-10,23,16,bab
2019-05-11,40,17,bab
2019-05-12,37,17,bab
2019-05-13,32,17,bab
2019-05-14,41,14,bab
2019-05-15,37,18,bab
2019-05-16,26,23,bab
2019-05-17,31,12,bab
2019-05-18,37,27,bab
2019-05-19,44,17,bab
2019-05-20,36,13,bab
2019-05-21,29,24,bab
2019-05-22,39,21,bab
2019-05-23,31,13,bab
2019-05-24,34,20,bab
2019-05-25,46,14,bab
2019-05-26,39,17,bab
2019-05-27,35,17,bab
2019-05-28,30,18,bab
2019-05-29,36,11,bab
2019-05-30,28,15,bab
2019-05-31,27,19,bab
2019-06-01,24,12,bab
2019-06-02,36,24,bab
2019-06-03,28,20,bab
2019-06-04,39,21,bab
2019-06-05,30,16,bab
2019-06-06,37,13,bab
2019-06-07,38,11,bab
2019-06-08,44,15,bab
2019-06-09,29,19,bab
2019-06-10,42,13,bab
2019-06-11,41,17,bab
2019-06-12,30,16,bab
2019-06-13,25,16,bab
2019-06-14,34,16,bab
2019-06-15,36,17,bab
2019-06-16,33,19,bab
2019-06-17,26,14,bab
2019-06-18,32,13,bab
2019-06-19,27,22,bab
2019-06-20,35,17,bab
2019-06-21,32,17,bab
2019-06-22,52,20,bab
2019-06-23,36,14,bab
2019-06-24,44,15,bab
2019-06-25,44,23,bab
2019-06-26,38,17,bab
2019-06-27,40,22,bab
2019-06-28,30,13,bab
2019-06-29,25,14,bab
2019-06-30,38,13,bab
2019-07-01,28,18,bab
2019-07-02,34,17,bab
2019-07-03,33,14,bab
2019-07-04,46,17,bab
2019-07-05,38,15,bab
2019-07-06,33,18,bab
2019-07-07,32,15,bab
2019-07-08,36,10,bab
2019-07-09,32,16,bab
2019-07-10,34,20,bab
2019-07-11,32,13,bab
2019-07-12,30,25,bab
2019-07-13,50,23,bab
2019-07-14,35,20,bab
2019-07-15,52,20,bab
2019-07-16,36,13,bab
2019-07-17,28,12,bab
2019-07-18,43,15,bab
2019-07-19,40,17,bab
2019-07-20,37,14,bab
2019-07-21,46,16,bab
2019-07-22,42,13,bab
2019-07-23,36,16,bab
2019-07-24,36,17,bab
2019-07-25,30,12,bab
2019-07-26,26,13,bab
2019-07-27,57,13,bab
2019-07-28,44,26,bab
2019-07-29,38,19,bab
2019-07-30,55,14,bab
2019-07-31,39,19,bab
2019-08-01,32,17,bab
2019-08-02,33,21,bab
2019-08-03,46,20,bab
2019-08-04,38,10,bab
2019-08-05,47,15,bab
2019-08-06,38,19,bab
2019-08-07,48,16,bab
2019-08-08,25,22,bab
2019-08-09,41,16,bab
2019-08-10,50,14,bab
2019-08-11,34,14,bab
2019-08-12,27,15,bab
2019-08-13,48,17,bab
2019-08-14,37,16,bab
2019-08-15,31,18,bab
2019-08-16,33,12,bab
2019-08-17,48,15,bab
2019-08-18,36,14,bab
2019-08-19,43,14,bab
2019-08-20,45,24,bab
2019-08-21,38,21,bab
2019-08-22,37,18,bab
2019-08-23,37,19,bab
2019-08-24,42,16,bab
2019-08-25,24,16,bab
2019-08-26,32,16,bab
2019-08-27,40,13,bab
2019-08-28,39,11,bab
2019-08-29,42,13,bab
2019-08-30,49,21,bab
2019-08-31,45,20,bab
2019-09-01,37,14,bab
2019-09-02,30,24,bab
2019-09-03,34,20,bab
2019-09-04,34,20,bab
2019-09-05,43,12,bab
2019-09-06,30,16,bab
2019-09-07,39,14,bab
2019-09-08,42,20,bab
2019-09-09,31,11,bab
2019-09-10,41,16,bab
2019-09-11,25,16,bab
2019-09-12,41,15,bab
2019-09-13,42,20,bab
2019-09-14,41,12,bab
2019-09-15,28,24,bab
2019-09-16,26,23,bab
2019-09-17,46,10,bab
2019-09-18,37,17,bab
2019-09-19,34,18,bab
2019-09-20,39,21,bab
2019-09-21,48,15,bab
2019-09-22,28,18,bab
2019-09-23,33,19,bab
2019-09-24,36,16,bab
2019-09-25,35,21,bab
2019-09-26,37,15,bab
2019-09-27,37,14,bab
2019-09-28,37,17,bab
2019-09-29,46,16,bab
2019-09-30,45,13,bab
2019-10-01,41,21,bab
2019-10-02,27,15,bab
2019-10-03,35,21,bab
2019-10-04,30,20,bab
2019-10-05,40,15,bab
2019-10-06,34,23,bab
2019-10-07,33,15,bab
2019-10-08,37,19,bab
2019-10-09,37,19,bab
2019-10-10,31,14,bab
2019-10-11,34,13,bab
2019-10-12,43,19,bab
2019-10-13,46,10,bab
2019-10-14,35,19,bab
2019-10-15,36,15,bab
2019-10-16,39,22,bab
2019-10-17,39,17,bab
2019-10-18,26,23,bab
2019-10-19,36,22,bab
2019-10-20,39,17,bab
2019-10-21,40,24,bab
2019-10-22,36,19,bab
2019-10-23,42,22,bab
2019-10-24,30,17,bab
2019-10-25,29,14,bab
2019-10-26,47,27,bab
2019-10-27,37,13,bab
2019-10-28,42,15,bab
2019-10-29,36,20,bab
2019-10-30,34,19,bab
2019-10-31,39,24,bab
2019-11-01,30,15,bab
2019-11-02,37,14,bab
2019-11-03,43,16,bab
2019-11-04,39,25,bab
2019-11-05,28,20,bab
2019-11-06,53,19,bab
2019-11-07,25,19,bab
2019-11-08,33,12,bab
2019-11-09,38,17,bab
2019-11-10,39,18,bab
2019-11-11,33,18,bab
2019-11-12,33,19,bab
2019-11-13,42,18,bab
2019-11-14,34,15,bab
2019-11-15,43,20,bab
2019-11-16,35,19,bab
2019-11-17,40,18,bab
2019-11-18,32,28,bab
2019-11-19,42,24,bab
2019-11-20,29,18,bab
2019-11-21,35,23,bab
2019-11-22,38,24,bab
2019-11-23,35,15,bab
2019-11-24,38,17,bab
2019-11-25,31,22,bab
2019-11-26,30,17,bab
2019-11-27,41,16,bab
2019-11-28,28,12,bab
2019-11-29,30,19,bab
2019-11-30,36,20,bab
2019-12-01,37,20,bab
2019-12-02,25,25,bab
2019-12-03,34,22,bab
2019-12-04,29,14,bab
2019-12-05,31,22,bab
2019-12-06,32,15,bab
2019-12-07,33,20,bab
2019-12-08,38,13,bab
2019-12-09,38,15,bab
2019-12-10,40,20,bab
2019-12-11,27,26,bab
2019-12-12,31,11,bab
2019-12-13,32,17,bab
2019-12-14,42,17,bab
2019-12-15,51,20,bab
2019-12-16,37,24,bab
2019-12-17,40,19,bab
2019-12-18,39,18,bab
2019-12-19,34,17,bab
2019-12-20,37,23,bab
2019-12-21,43,22,bab
2019-12-22,41,10,bab
2019-12-23,24,16,bab
2019-12-24,48,29,bab
2019-12-25,26,23,bab
2019-12-26,39,23,bab
2019-12-27,37,21,bab
2019-12-28,33,18,bab
2019-12-29,35,18,bab
2019-12-30,30,19,bab
2019-12-31,37,14,bab
2020-01-01,32,14,bab
2020-01-02,26,24,bab
2020-01-03,44,17,bab
2020-01-04,47,18,bab
2020-01-05,46,17,bab
2020-01-06,32,19,bab
2020-01-07,40,15,bab
2020-01-08,28,17,bab
2020-01-09,29,14,bab
2020-01-10,45,23,bab
2020-01-11,36,17,bab
2020-01-12,40,20,bab
2020-01-13,34,11,bab
2020-01-14,33,13,bab
2020-01-15,43,20,bab
2020-01-16,29,16,bab
2020-01-17,50,12,bab
2020-01-18,37,19,bab
2020-01-19,36,18,bab
2020-01-20,27,19,bab
2020-01-21,34,17,bab
2020-01-22,43,11,bab
2020-01-23,40,13,bab
2020-01-24,26,26,bab
2020-01-25,34,22,bab
2020-01-26,44,18,bab
2020-01-27,35,9,bab
2020-01-28,31,18,bab
2020-01-29,35,17,bab
2020-01-30,29,23,bab
2020-01-31,28,19,bab
2020-02-01,41,12,bab
2020-02-02,31,14,bab
2020-02-03,33,15,bab
2020-02-04,35,16,bab
2020-02-05,38,17,bab
2020-02-06,42,17,bab
2020-02-07,42,22,bab
2020-02-08,47,15,bab
2020-02-09,46,18,bab
2020-02-10,35,11,bab
2020-02-11,36,21,bab
2020-02-12,33,22,bab
2020-02-13,42,21,bab
2020-02-14,25,13,bab
2020-02-15,29,19,bab
2020-02-16,34,18,bab
2020-02-17,32,19,bab
2020-02-18,41,10,bab
2020-02-19,43,27,bab
2020-02-20,39,20,bab
2020-02-21,26,22,bab
2020-02-22,35,11,bab
2020-02-23,38,28,bab
2020-02-24,30,17,bab
2020-02-25,44,12,bab
2020-02-26,24,14,bab
2020-02-27,43,18,bab
2020-02-28,38,16,bab
2020-02-29,39,20,bab
2020-03-01,36,13,bab
2020-03-02,29,13,bab
2020-03-03,35,28,bab
2020-03-04,34,23,bab
2020-03-05,36,18,bab
2020-03-06,31,23,bab
2020-03-07,39,11,bab
2020-03-08,44,18,bab
2020-03-09,30,15,bab
2020-03-10,37,14,bab
2020-03-11,27,19,bab
2020-03-12,37,13,bab
2020-03-13,40,15,bab
2020-03-14,44,20,bab
2020-03-15,36,19,bab
2020-03-16,35,8,bab
2020-03-17,29,15,bab
2020-03-18,38,22,bab
2020-03-19,30,23,bab
2020-03-20,53,23,bab
2020-03-21,42,20,bab
2020-03-22,35,12,bab
2020-03-23,39,15,bab
2020-03-24,32,19,bab
2020-03-25,26,16,bab
2020-03-26,33,19,bab
2020-03-27,45,16,bab
2020-03-28,41,22,bab
2020-03-29,34,11,bab
2020-03-30,43,18,bab
2020-03-31,38,25,bab
2020-04-01,25,16,bab
2020-04-02,44,18,bab
2020-04-03,44,12,bab
2020-04-04,47,22,bab
2020-04-05,37,17,bab
2020-04-06,43,26,bab
2020-04-07,37,23,bab
2020-04-08,38,19,bab
2020-04-09,27,23,bab
2020-04-10,44,17,bab
2020-04-11,39,15,bab
2020-04-12,31,17,bab
2020-04-13,41,18,bab
2020-04-14,36,26,bab
2020-04-15,33,21,bab
2020-04-16,37,23,bab
2020-04-17,39,10,bab
2020-04-18,40,19,bab
2020-04-19,39,26,bab
2020-04-20,39,18,bab
2020-04-21,33,24,bab
2020-04-22,31,25,bab
2020-04-23,31,19,bab
2020-04-24,41,18,bab
2020-04-25,38,20,bab
2020-04-26,26,21,bab
2020-04-27,37,26,bab
2020-04-28,52,15,bab
2020-04-29,33,27,bab
2020-04-30,28,26,bab
2020-05-01,37,20,bab
2020-05-02,31,18,bab
2020-05-03,41,25,bab
2020-05-04,30,22,bab
2020-05-05,35,21,bab
2020-05-06,35,32,bab
2020-05-07,34,22,bab
2020-05-08,36,19,bab
2020-05-09,40,31,bab
2020-05-10,38,17,bab
2020-05-11,23,29,bab
2020-05-12,36,13,bab
2020-05-13,36,28,bab
2020-05-14,28,12,bab
2020-05-15,30,18,bab
2020-05-16,29,26,bab
2020-05-17,30,13,bab
2020-05-18,34,22,bab
2020-05-19,36,18,bab
2020-05-20,38,12,bab
2020-05-21,33,23,bab
2020-05-22,27,27,bab
2020-05-23,27,18,bab
2020-05-24,31,21,bab
2020-05-25,34,20,bab
2020-05-26,47,21,bab
2020-05-27,29,20,bab
2020-05-28,35,18,bab
2020-05-29,35,15,bab
2020-05-30,32,17,bab
2020-05-31,31,12,bab
2020-06-01,23,12,bab
2020-06-02,36,20,bab
2020-06-03,32,12,bab
2020-06-04,34,21,bab
2020-06-05,21,26,bab
2020-06-06,32,21,bab
2020-06-07,32,11,bab
2020-06-08,33,22,bab
2020-06-09,33,18,bab
2020-06-10,27,23,bab
2020-06-11,30,14,bab
2020-06-12,37,20,bab
2020-06-13,31,16,bab
2020-06-14,32,9,bab
2020-06-15,39,18,bab
2020-06-16,34,13,bab
2020-06-17,30,21,bab
2020-06-18,23,11,bab
2020-06-19,23,16,bab
2020-06-20,32,21,bab
2020-06-21,29,17,bab
2020-06-22,36,23,bab
2020-06-23,32,12,bab
2020-06-24,37,23,bab
2020-06-25,40,20,bab
2020-06-26,26,19,bab
2020-06-27,41,17,bab
2020-06-28,33,15,bab
2020-06-29,37,16,bab
2020-06-30,37,11,bab
2020-07-01,31,18,bab
2020-07-02,31,21,bab
2020-07-03,27,20,bab
2020-07-04,29,14,bab
2020-07-05,41,23,bab
2020-07-06,33,16,bab
2020-07-07,40,24,bab
2020-07-08,26,19,bab
2020-07-09,33,19,bab
2020-07-10,35,18,bab
2020-07-11,30,15,bab
2020-07-12,45,14,bab
2020-07-13,36,21,bab
2020-07-14,44,16,bab
2020-07-15,26,18,bab
2020-07-16,39,18,bab
2020-07-17,35,15,bab
2020-07-18,32,15,bab
2020-07-19,33,19,bab
2020-07-20,32,18,bab
2020-07-21,38,15,bab
2020-07-22,44,15,bab
2020-07-23,33,17,bab
2020-07-24,33,15,bab
2020-07-25,48,19,bab
2020-07-26,38,22,bab
2020-07-27,34,13,bab
2020-07-28,33,13,bab
2020-07-29,44,22,bab
2020-07-30,49,13,bab
2020-07-31,39,21,bab
2020-08-01,41,23,bab
2020-08-02,32,17,bab
2020-08-03,28,16,bab
2020-08-04,32,15,bab
2020-08-05,40,18,bab
2020-08-06,37,20,bab
2020-08-07,31,11,bab
2020-08-08,34,20,bab
2020-08-09,35,15,bab
2020-08-10,40,12,bab
2020-08-11,40,16,bab
2020-08-12,37,13,bab
2020-08-13,31,21,bab
2020-08-14,37,12,bab
2020-08-15,30,17,bab
2020-08-16,42,12,bab
2020-08-17,34,20,bab
2020-08-18,39,14,bab
2020-08-19,32,14,bab
2020-08-20,46,15,bab
2020-08-21,40,27,bab
2020-08-22,39,17,bab
2020-08-23,41,15,bab
2020-08-24,40,9,bab
2020-08-25,44,17,bab
2020-08-26,41,15,bab
2020-08-27,42,15,bab
2020-08-28,42,14,bab
2020-08-29,41,17,bab
2020-08-30,42,20,bab
2020-08-31,41,19,bab
2020-09-01,40,20,bab
2020-09-02,27,19,bab
2020-09-03,43,13,bab
2020-09-04,35,16,bab
2020-09-05,46,12,bab
2020-09-06,44,25,bab
2020-09-07,38,18,bab
2020-09-08,41,21,bab
2020-09-09,37,22,bab
2020-09-10,33,15,bab
2020-09-11,33,14,bab
2020-09-12,42,19,bab
2020-09-13,47,15,bab
2020-09-14,36,16,bab
2020-09-15,47,16,bab
2020-09-16,39,16,bab
2020-09-17,32,21,bab
2020-09-18,35,12,bab
2020-09-19,47,17,bab
2020-09-20,44,18,bab
2020-09-21,36,13,bab
2020-09-22,32,23,bab
2020-09-23,35,9,bab
2020-09-24,39,13,bab
2020-09-25,39,14,bab
2020-09-26,39,13,bab
2020-09-27,37,14,bab
2020-09-28,45,21,bab
2020-09-29,37,18,bab
2020-09-30,37,22,bab
2020-10-01,42,13,bab
2020-10-02,37,12,bab
2020-10-03,40,12,bab
2020-10-04,49,19,bab
2020-10-05,35,10,bab
2020-10-06,42,28,bab
2020-10-07,37,9,bab
2020-10-08,47,19,bab
2020-10-09,40,16,bab
2020-10-10,43,23,bab
2020-10-11,39,15,bab
2020-10-12,48,17,bab
2020-10-13,37,12,bab
2020-10-14,29,13,bab
2020-10-15,41,19,bab
2020-10-16,35,13,bab
2020-10-17,48,15,bab
2020-10-18,27,18,bab
2020-10-19,31,16,bab
2020-10-20,38,18,bab
2020-10-21,45,17,bab
2020-10-22,34,13,bab
2020-10-23,36,18,bab
2020-10-24,33,18,bab
2020-10-25,33,15,bab
2020-10-26,62,18,bab
2020-10-27,43,15,bab
2020-10-28,36,17,bab
2020-10-29,30,13,bab
2020-10-30,34,18,bab
2020-10-31,37,19,bab
2020-11-01,40,16,bab
2020-11-02,49,16,bab
2020-11-03,40,13,bab
2020-11-04,36,17,bab
2020-11-05,44,19,bab
2020-11-06,40,13,bab
2020-11-07,35,17,bab
2020-11-08,28,16,bab
2020-11-09,53,17,bab
2020-11-10,46,17,bab
2020-11-11,35,11,bab
2020-11-12,29,14,bab
2020-11-13,36,25,bab
2020-11-14,44,20,bab
2020-11-15,37,24,bab
2020-11-16,40,27,bab
2020-11-17,40,11,bab
2020-11-18,53,15,bab
2020-11-19,36,8,bab
2020-11-20,40,16,bab
2020-11-21,46,19,bab
2020-11-22,38,14,bab
2020-11-23,44,16,bab
2020-11-24,37,23,bab
2020-11-25,29,21,bab
2020-11-26,41,12,bab
2020-11-27,36,15,bab
2020-11-28,39,23,bab
2020-11-29,45,15,bab
2020-11-30,41,23,bab
2020-12-01,39,19,bab
2020-12-02,45,18,bab
2020-12-03,38,18,bab
2020-12-04,38,18,bab
2020-12-05,45,14,bab
2020-12-06,29,18,bab
2020-12-07,44,16,bab
2020-12-08,34,18,bab
2020-12-09,28,16,bab
2020-12-10,38,23,bab
2020-12-11,40,20,bab
2020-12-12,41,13,bab
2020-12-13,36,21,bab
2020-12-14,36,15,bab
2020-12-15,42,19,bab
2020-12-16,35,18,bab
2020-12-17,44,16,bab
2020-12-18,32,16,bab
2020-12-19,34,23,bab
2020-12-20,39,18,bab
2020-12-21,47,11,bab
2020-12-22,38,19,bab
2020-12-23,46,22,bab
2020-12-24,40,16,bab
2020-12-25,43,20,bab
2020-12-26,31,11,bab
2020-12-27,37,15,bab
2020-12-28,37,11,bab
2020-12-29,40,18,bab
2020-12-30,36,21,bab
2020-12-31,41,15,bab
2021-01-01,37,15,bab
2021-01-02,41,29,bab
2021-01-03,28,17,bab
2021-01-04,34,19,bab
2021-01-05,44,23,bab
2021-01-06,39,28,bab
2021-01-07,44,14,bab
2021-01-08,52,11,bab
2021-01-09,36,24,bab
2021-01-10,36,17,bab
2021-01-11,38,17,bab
2021-01-12,38,21,bab
2021-01-13,49,24,bab
2021-01-14,38,24,bab
2021-01-15,29,17,bab
2021-01-16,26,27,bab
2021-01-17,45,12,bab
2021-01-18,27,16,bab
2021-01-19,35,23,bab
2021-01-20,45,26,bab
2021-01-21,39,13,bab
2021-01-22,32,19,bab
2021-01-23,40,12,bab
2021-01-24,44,16,bab
2021-01-25,42,22,bab
2021-01-26,45,15,bab
2021-01-27,29,27,bab
2021-01-28,38,23,bab
2021-01-29,33,19,bab
2021-01-30,47,20,bab
2021-01-31,42,20,bab
2021-02-01,30,7,bab
2021-02-02,43,15,bab
2021-02-03,34,22,bab
2021-02-04,39,21,bab
2021-02-05,46,18,bab
2021-02-06,41,25,bab
2021-02-07,40,15,bab
2021-02-08,53,20,bab
2021-02-09,39,21,bab
2021-02-10,29,20,bab
2021-02-11,42,23,bab
2021-02-12,36,15,bab
2021-02-13,34,24,bab
2021-02-14,43,22,bab
2021-02-15,50,22,bab
2021-02-16,42,22,bab
2021-02-17,39,20,bab
2021-02-18,50,22,bab
2021-02-19,31,17,bab
2021-02-20,39,17,bab
2021-02-21,46,11,bab
2021-02-22,36,19,bab
2021-02-23,41,21,bab
2021-02-24,41,15,bab
2021-02-25,39,21,bab
2021-02-26,41,22,bab
2021-02-27,34,19,bab
2021-02-28,40,26,bab
2021-03-01,29,20,bab
2021-03-02,44,19,bab
2021-03-03,45,10,bab
2021-03-04,44,19,bab
2021-03-05,44,26,bab
2021-03-06,46,19,bab
2021-03-07,45,17,bab
2021-03-08,40,17,bab
2021-03-09,39,21,bab
2021-03-10,46,19,bab
2021-03-11,35,15,bab
2021-03-12,49,10,bab
2021-03-13,42,22,bab
2021-03-14,45,19,bab
2021-03-15,42,23,bab
2021-03-16,41,28,bab
2021-03-17,30,26,bab
2021-03-18,36,20,bab
2021-03-19,43,23,bab
2021-03-20,46,20,bab
2021-03-21,33,24,bab
2021-03-22,44,14,bab
2021-03-23,31,14,bab
2021-03-24,42,17,bab
2021-03-25,25,17,bab
2021-03-26,28,13,bab
2021-03-27,20,10,bab
2021-03-28,26,14,bab
2021-03-29,25,6,bab
2021-03-30,20,11,bab
2021-03-31,18,12,bab
2021-04-01,29,20,bab
2021-04-02,40,18,bab
2021-04-03,46,20,bab
2021-04-04,46,20,bab
2021-04-05,43,18,bab
2021-04-06,47,18,bab
2021-04-07,53,19,bab
2021-04-08,40,16,bab
2021-04-09,52,21,bab
2021-04-10,47,12,bab
2021-04-11,41,18,bab
2021-04-12,51,29,bab
2021-04-13,56,18,bab
2021-04-14,40,14,bab
2021-04-15,52,20,bab
2021-04-16,36,19,bab
2021-04-17,37,19,bab
2021-04-18,31,17,bab
2021-04-19,40,21,bab
2021-04-20,36,16,bab
2021-04-21,35,13,bab
2021-04-22,26,16,bab
2021-04-23,41,13,bab
2021-04-24,36,15,bab
2021-04-25,42,13,bab
2021-04-26,38,18,bab
2021-04-27,39,10,bab
2021-04-28,42,25,bab
2021-04-29,39,18,bab
2021-04-30,41,20,bab
2021-05-01,32,16,bab
2021-05-02,40,14,bab
2021-05-03,47,21,bab
2021-05-04,49,20,bab
2021-05-05,40,13,bab
2021-05-06,39,21,bab
2021-05-07,42,21,bab
2021-05-08,47,16,bab
2021-05-09,34,14,bab
2021-05-10,31,20,bab
2021-05-11,43,27,bab
2021-05-12,35,12,bab
2021-05-13,37,13,bab
2021-05-14,40,23,bab
2021-05-15,47,16,bab
2021-05-16,37,12,bab
2021-05-17,42,12,bab
2021-05-18,42,20,bab
2021-05-19,30,22,bab
2021-05-20,32,21,bab
2021-05-21,33,16,bab
2021-05-22,41,21,bab
2021-05-23,50,17,bab
2021-05-24,41,19,bab
2021-05-25,36,16,bab
2021-05-26,41,14,bab
2021-05-27,45,13,bab
2021-05-28,41,14,bab
2021-05-29,41,16,bab
2021-05-30,42,19,bab
2021-05-31,36,14,bab
2021-06-01,31,19,bab
2021-06-02,42,23,bab
2021-06-03,43,17,bab
2021-06-04,45,11,bab
2021-06-05,43,19,bab
2021-06-06,47,16,bab
2021-06-07,44,18,bab
2021-06-08,36,16,bab
2021-06-09,27,14,bab
2021-06-10,45,17,bab
2021-06-11,38,20,bab
2021-06-12,39,18,bab
2021-06-13,37,18,bab
2021-06-14,41,12,bab
2021-06-15,45,18,bab
2021-06-16,47,22,bab
2021-06-17,31,10,bab
2021-06-18,46,12,bab
2021-06-19,47,20,bab
2021-06-20,37,20,bab
2021-06-21,36,16,bab
2021-06-22,44,19,bab
2021-06-23,43,17,bab
2021-06-24,39,26,bab
2021-06-25,53,22,bab
2021-06-26,52,14,bab
2021-06-27,36,18,bab
2021-06-28,49,12,bab
2021-06-29,48,17,bab
2021-06-30,43,18,bab
2021-07-01,33,20,bab
2021-07-02,45,14,bab
2021-07-03,48,22,bab
2021-07-04,41,19,bab
2021-07-05,42,14,bab
2021-07-06,32,14,bab
2021-07-07,39,21,bab
2021-07-08,47,18,bab
2021-07-09,41,11,bab
2021-07-10,44,19,bab
2021-07-11,43,12,bab
2021-07-12,38,20,bab
2021-07-13,37,23,bab
2021-07-14,35,14,bab
2021-07-15,42,16,bab
2021-07-16,42,11,bab
2021-07-17,42,13,bab
2021-07-18,46,17,bab
2021-07-19,39,17,bab
2021-07-20,44,18,bab
2021-07-21,58,16,bab
2021-07-22,42,18,bab
2021-07-23,46,23,bab
2021-07-24,36,13,bab
2021-07-25,49,14,bab
2021-07-26,49,24,bab
2021-07-27,38,16,bab
2021-07-28,48,16,bab
2021-07-29,44,14,bab
2021-07-30,39,14,bab
2021-07-31,42,20,bab
2021-08-01,34,14,bab
2021-08-02,46,12,bab
2021-08-03,44,20,bab
2021-08-04,42,16,bab
2021-08-05,27,21,bab
2021-08-06,44,21,bab
2021-08-07,34,19,bab
2021-08-08,35,16,bab
2021-08-09,55,15,bab
2021-08-10,39,14,bab
2021-08-11,44,14,bab
2021-08-12,46,24,bab
2021-08-13,49,24,bab
2021-08-14,42,22,bab
2021-08-15,54,21,bab
2021-08-16,33,22,bab
2021-08-17,39,17,bab
2021-08-18,48,16,bab
2021-08-19,53,11,bab
2021-08-20,43,13,bab
2021-08-21,50,26,bab
2021-08-22,51,16,bab
2021-08-23,34,15,bab
2021-08-24,40,17,bab
2021-08-25,40,17,bab
2021-08-26,41,12,bab
2021-08-27,53,19,bab
2021-08-28,47,14,bab
2021-08-29,41,13,bab
2021-08-30,35,22,bab
2021-08-31,52,11,bab
2021-09-01,45,19,bab
2021-09-02,38,24,bab
2021-09-03,47,17,bab
2021-09-04,32,29,bab
2021-09-05,32,20,bab
2021-09-06,45,17,bab
2021-09-07,49,25,bab
2021-09-08,39,16,bab
2021-09-09,40,16,bab
2021-09-10,54,20,bab
2021-09-11,41,20,bab
2021-09-12,41,16,bab
2021-09-13,47,24,bab
2021-09-14,40,14,bab
2021-09-15,33,18,bab
2021-09-16,41,11,bab
2021-09-17,49,15,bab
2021-09-18,38,17,bab
2021-09-19,34,14,bab
2021-09-20,43,23,bab
2021-09-21,44,15,bab
2021-09-22,44,26,bab
